../../assets/Unscramble.jpg,Unscramble,Dive into unscramble to unleash your inner self
../../assets/Teasure Hunt.jpg,Teasure Hunt,Run faster before someone hunts your teasure
../../assets/rapid fire.png,SPEED rapid fire quiz,Run faster before someone hunts your teasure
../../assets/one minute speed story.png,One minute SPEED story,Run faster before someone hunts your teasure
../../assets/networking event.jpg,SPEED networking event,Run faster before someone hunts your teasure
../../assets/learning workshop.jpg,SPEED learning workshop,Run faster before someone hunts your teasure
../../assets/learning and dev.png,Learning and devlopment community,Run faster before someone hunts your teasure
../../assets/Decision making.jpg,Flash decision making challenge,Run faster before someone hunts your teasure
../../assets/ceo quiz.jpg,CEO SPEED Q&A,Run faster before someone hunts your teasure
