Mascot Challenge,Individual,13-Dec-23,Completed
Unscramble,Individual,20-Dec-23,Completed
Crossword Puzzle,Individual,15-Dec-23,Planned
One minute Speed Story,Individual,15-Dec-23,Planned
SPEED rapid fire Quiz,Individual,15-Dec-23,Planned
Learning and development community,Team,15-Dec-23,Planned
Flash decision making challenge,Individual,15-Dec-23,Planned
Treasure Hunt,Team,15-Dec-23,Planned
Speed networking event,Team,15-Dec-23,Planned
