../../assets/Mascot.jpg,Mascot Challenge,Create the Symbol for and as SPEED
../../assets/Unscramble.jpg,Unscramble,Dive into unscramble to unleash your inner self
../../assets/Teasure Hunt.jpg,Treasure Hunt,Run faster before someone hunts your teasure
../../assets/rapid fire.png,SPEED Rapid Fire Quiz,Answer the questions at speed of light 
../../assets/one minute speed story.png,One Minute SPEED Story,Share your story in 1 minute
../../assets/networking event.jpg,SPEED Networking Event,collaborate and connect the network
../../assets/learning workshop.jpg,SPEED Learning Workshop,Learn for Career and Cause
../../assets/learning and dev.png,Learning and Development Community,Run faster before someone hunts your teasure
../../assets/Decision making.jpg,Flash Decision Making Challenge,Take a turn before someone
